name,country_code,country,gender,continent,Bronze Medal,Gold Medal,Silver Medal,total_medals,medal_quality_score,code,age,disciplines,rank
YANG Liu,CHN,China,Female,Asia,0,0,13,13,26,1926827,32,['Boxing'],1
YANG Liu,CHN,China,Female,Asia,0,0,13,13,26,1926914,26,['Hockey'],2
AARDAHL Maren,NOR,Norway,Female,Europe,0,12,0,12,36,1878518,30,['Handball'],3
ADEBAYO Bam,USA,United States,Male,North America,0,12,0,12,36,1954688,27,['Basketball'],4
AHMAN David,SWE,Sweden,Male,Europe,0,12,0,12,36,1934586,23,['Beach Volleyball'],5
ALBERS Felice,NED,Netherlands,Female,Europe,0,12,0,12,36,1971903,25,['Hockey'],6
ALBERT Korbin,USA,United States,Female,North America,0,12,0,12,36,1943542,21,['Football'],7
ANDERSSON Lasse,DEN,Denmark,Male,Europe,0,12,0,12,36,1895178,30,['Handball'],8
ANTROPOVA Ekaterina,ITA,Italy,Female,Europe,0,12,0,12,36,1921743,21,['Volleyball'],9
ARNOLDSEN Thomas,DEN,Denmark,Male,Europe,0,12,0,12,36,1895236,23,['Handball'],10
BAENA Alex,ESP,Spain,Male,Europe,0,12,0,12,36,1942033,23,['Football'],11
BALK Lars,NED,Netherlands,Male,Europe,0,12,0,12,36,1971905,28,['Hockey'],12
BARRAQUE Jean Pascal,FRA,France,Male,Europe,0,12,0,12,36,1879661,33,['Rugby Sevens'],13
BARRIOS Pablo,ESP,Spain,Male,Europe,0,12,0,12,36,1942037,21,['Football'],14
BERNABE Adrian,ESP,Spain,Male,Europe,0,12,0,12,36,1942039,23,['Football'],15
BETHUNE Croix,USA,United States,Female,North America,0,12,0,12,36,4665325,23,['Football'],16
BIJEN Koen,NED,Netherlands,Male,Europe,0,12,0,12,36,1971909,26,['Hockey'],17
BLAAK Pirmin,NED,Netherlands,Male,Europe,0,12,0,12,36,1971910,36,['Hockey'],18
BLOK Justen,NED,Netherlands,Male,Europe,0,12,0,12,36,1971911,24,['Hockey'],19
BLYDE Michaela,NZL,New Zealand,Female,Oceania,0,12,0,12,36,1926635,29,['Rugby Sevens'],20
BOOKER Devin,USA,United States,Male,North America,0,12,0,12,36,1954687,28,['Basketball'],21
BOSETTI Caterina Chiara,ITA,Italy,Female,Europe,0,12,0,12,36,1921747,30,['Volleyball'],22
BRATTSET DALE Kari,NOR,Norway,Female,Europe,0,12,0,12,36,1878516,33,['Handball'],23
BREISTOEL Kristine,NOR,Norway,Female,Europe,0,12,0,12,36,1878511,31,['Handball'],24
BRINKMAN Thierry,NED,Netherlands,Male,Europe,0,12,0,12,36,1971917,29,['Hockey'],25
BRIZARD Antoine,FRA,France,Male,Europe,0,12,0,12,36,1574041,30,['Volleyball'],26
BRUNCKHORST Svenja,GER,Germany,Female,Europe,0,12,0,12,36,1898807,33,['3x3 Basketball'],27
BURG Joosje,NED,Netherlands,Female,Europe,0,12,0,12,36,1971919,27,['Hockey'],28
