event,tag,sport,sport_code,sport_url,discipline,start_date,end_date,venue,phase,gender,status,day_of_week,duration_hours,latitude,longitude,date_start,date_end,start_day,start_month,start_hour
Men,beach-volleyball,Beach Volleyball,VBV,https://olympics.com/en/paris-2024/sports/beach-volleyball,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,football,Football,FBL,https://olympics.com/en/paris-2024/sports/football,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,cycling-bmx-racing,Cycling BMX Racing,BMX,https://olympics.com/en/paris-2024/sports/cycling-bmx-racing,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Geoffroy-Guichard Stadium,Men's Group B,M,FINISHED,Wednesday,1.75,48.8566,2.3522,2024-07-25 13:00:00+00:00,2024-07-31 19:00:00+00:00,24,7,15
Men,trampoline-gymnastics,Trampoline Gymnastics,GTR,https://olympics.com/en/paris-2024/sports/trampoline-gymnastics,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,3x3-basketball,3x3 Basketball,BK3,https://olympics.com/en/paris-2024/sports/3x3-basketball,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Geoffroy-Guichard Stadium,Men's Group B,M,FINISHED,Wednesday,1.75,48.8566,2.3522,2024-07-25 13:00:00+00:00,2024-07-31 19:00:00+00:00,24,7,15
Men,handball,Handball,HBL,https://olympics.com/en/paris-2024/sports/handball,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Geoffroy-Guichard Stadium,Men's Group B,M,FINISHED,Wednesday,1.75,48.8566,2.3522,2024-07-25 13:00:00+00:00,2024-07-31 19:00:00+00:00,24,7,15
Men,water-polo,Water Polo,WPO,https://olympics.com/en/paris-2024/sports/water-polo,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,hockey,Hockey,HOC,https://olympics.com/en/paris-2024/sports/hockey,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,volleyball,Volleyball,VVO,https://olympics.com/en/paris-2024/sports/volleyball,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Parc des Princes,Men's Group C,M,FINISHED,Wednesday,1.75,48.8415,2.253,2024-07-25 13:00:00+00:00,2024-08-10 18:30:00+00:00,24,7,15
Men,rugby-sevens,Rugby Sevens,RU7,https://olympics.com/en/paris-2024/sports/rugby-sevens,Football,2024-07-24 15:00:00+02:00,2024-07-24 16:45:00+02:00,Geoffroy-Guichard Stadium,Men's Group B,M,FINISHED,Wednesday,1.75,48.8566,2.3522,2024-07-25 13:00:00+00:00,2024-07-31 19:00:00+00:00,24,7,15
