gender,count,category,subcategory,total_in_category,percentage
Male,5658,Overall,All,11113,50.91
Female,5455,Overall,All,11113,49.09
Female,441,Continent,Africa,1011,43.62
Male,570,Continent,Africa,1011,56.38
Female,900,Continent,Asia,1809,49.75
Male,909,Continent,Asia,1809,50.25
Female,2526,Continent,Europe,5125,49.29
Male,2599,Continent,Europe,5125,50.71
Female,761,Continent,North America,1436,52.99
Male,675,Continent,North America,1436,47.01
Female,413,Continent,Oceania,790,52.28
Male,377,Continent,Oceania,790,47.72
Female,337,Continent,South America,736,45.79
Male,399,Continent,South America,736,54.21
Female,77,Continent,Unknown,206,37.38
Male,129,Continent,Unknown,206,62.62
Female,33,Country,Argentina,143,23.08
Male,110,Country,Argentina,143,76.92
Female,265,Country,Australia,475,55.79
Male,210,Country,Australia,475,44.21
Female,88,Country,Belgium,177,49.72
Male,89,Country,Belgium,177,50.28
Female,164,Country,Brazil,290,56.55
Male,126,Country,Brazil,290,43.45
Female,203,Country,Canada,332,61.14
Male,129,Country,Canada,332,38.86
Female,264,Country,China,398,66.33
Male,134,Country,China,398,33.67
Female,49,Country,Czechia,111,44.14
Male,62,Country,Czechia,111,55.86
Female,74,Country,Denmark,131,56.49
Male,57,Country,Denmark,131,43.51
Female,54,Country,Egypt,157,34.39
Male,103,Country,Egypt,157,65.61
Female,295,Country,France,601,49.08
Male,306,Country,France,601,50.92
Female,225,Country,Germany,457,49.23
Male,232,Country,Germany,457,50.77
Female,178,Country,Great Britain,343,51.9
Male,165,Country,Great Britain,343,48.1
Female,85,Country,Hungary,177,48.02
Male,92,Country,Hungary,177,51.98
Female,46,Country,India,112,41.07
Male,66,Country,India,112,58.93
Female,69,Country,Ireland,143,48.25
Male,74,Country,Ireland,143,51.75
Female,192,Country,Italy,397,48.36
Male,205,Country,Italy,397,51.64
Female,201,Country,Japan,431,46.64
Male,230,Country,Japan,431,53.36
Female,81,Country,Korea,147,55.1
Male,66,Country,Korea,147,44.9
Female,63,Country,Mexico,108,58.33
Male,45,Country,Mexico,108,41.67
Female,172,Country,Netherlands,290,59.31
Male,118,Country,Netherlands,290,40.69
