medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country,country_long,continent,age,height,weight,birth_place,medal_rank,is_gold,is_silver,is_bronze
Gold Medal,1.0,2024-07-27,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903136,BEL,Belgium,Belgium,Europe,25.0,0.0,0.0,AALST,,0,0,0
Silver Medal,2.0,2024-07-27,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1923520,ITA,Italy,Italy,Europe,28.0,0.0,0.0,VERBANIA,,0,0,0
Bronze Medal,3.0,2024-07-27,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903147,BEL,Belgium,Belgium,Europe,30.0,0.0,0.0,HERENTALS,,0,0,0
Gold Medal,1.0,2024-07-27,Grace BROWN,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1940173,AUS,Australia,Australia,Oceania,32.0,0.0,0.0,"CAMPERDOWN, VIC",,0,0,0
Silver Medal,2.0,2024-07-27,Anna HENDERSON,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1912525,GBR,Great Britain,Great Britain,Europe,26.0,0.0,0.0,HEMEL HEMPTSTEAD,,0,0,0
Bronze Medal,3.0,2024-07-27,Chloe DYGERT,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1955079,USA,United States,United States of America,North America,28.0,0.0,0.0,"BROWNSBURG, IN",,0,0,0
Gold Medal,1.0,2024-07-27,China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-CHN01,CHN,China,People's Republic of China,Asia,,,,,,0,0,0
Silver Medal,2.0,2024-07-27,United States,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-USA01,USA,United States,United States of America,North America,,,,,,0,0,0
Bronze Medal,3.0,2024-07-27,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-GBR01,GBR,Great Britain,Great Britain,Europe,,,,,,0,0,0
Gold Medal,1.0,2024-07-27,OH Sanguk,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1927149,KOR,Korea,Republic of Korea,Asia,28.0,0.0,0.0,DAEJEON,,0,0,0
