country_code,country,country_long,Gold Medal,Silver Medal,Bronze Medal,Total,code,continent,gold_ratio,silver_ratio,bronze_ratio,medal_quality_score,rank_by_total,rank_by_gold,rank_by_quality
USA,United States,United States of America,40,44,42,126,USA,North America,0.317,0.349,0.333,250,1,1,1
CHN,China,People's Republic of China,40,27,24,91,CHN,Asia,0.44,0.297,0.264,198,2,1,2
GBR,Great Britain,Great Britain,14,22,29,65,GBR,Europe,0.215,0.338,0.446,115,3,7,4
FRA,France,France,16,26,22,64,FRA,Europe,0.25,0.406,0.344,122,4,5,3
AUS,Australia,Australia,18,19,16,53,AUS,Oceania,0.34,0.358,0.302,108,5,4,5
JPN,Japan,Japan,20,12,13,45,JPN,Asia,0.444,0.267,0.289,97,6,3,6
ITA,Italy,Italy,12,13,15,40,ITA,Europe,0.3,0.325,0.375,77,7,9,7
NED,Netherlands,Netherlands,15,7,12,34,NED,Europe,0.441,0.206,0.353,71,8,6,8
GER,Germany,Germany,12,13,8,33,GER,Europe,0.364,0.394,0.242,70,9,9,9
KOR,Korea,Republic of Korea,13,9,10,32,KOR,Asia,0.406,0.281,0.312,67,10,8,10
CAN,Canada,Canada,9,7,11,27,CAN,North America,0.333,0.259,0.407,52,11,12,11
NZL,New Zealand,New Zealand,10,7,3,20,NZL,Oceania,0.5,0.35,0.15,47,12,11,12
BRA,Brazil,Brazil,3,7,10,20,BRA,South America,0.15,0.35,0.5,33,12,20,14
HUN,Hungary,Hungary,6,7,6,19,HUN,Europe,0.316,0.368,0.316,38,14,14,13
ESP,Spain,Spain,5,4,9,18,ESP,Europe,0.278,0.222,0.5,32,15,15,15
UZB,Uzbekistan,Uzbekistan,8,2,3,13,UZB,Asia,0.615,0.154,0.231,31,16,13,16
UKR,Ukraine,Ukraine,3,5,4,12,UKR,Europe,0.25,0.417,0.333,23,17,20,18
IRI,IR Iran,Islamic Republic of Iran,3,6,3,12,IRI,Asia,0.25,0.5,0.25,24,17,20,17
SWE,Sweden,Sweden,4,4,3,11,SWE,Europe,0.364,0.364,0.273,23,19,16,18
KEN,Kenya,Kenya,4,2,5,11,KEN,Africa,0.364,0.182,0.455,21,19,16,20
BEL,Belgium,Belgium,3,1,6,10,BEL,Europe,0.3,0.1,0.6,17,21,20,22
POL,Poland,Poland,1,4,5,10,POL,Europe,0.1,0.4,0.5,16,21,41,24
DEN,Denmark,Denmark,2,2,5,9,DEN,Europe,0.222,0.222,0.556,15,23,29,26
ROU,Romania,Romania,3,4,2,9,ROU,Europe,0.333,0.444,0.222,19,23,20,21
CUB,Cuba,Cuba,2,1,6,9,CUB,North America,0.222,0.111,0.667,14,23,29,28
GRE,Greece,Greece,1,1,6,8,GRE,Europe,0.125,0.125,0.75,11,26,41,36
NOR,Norway,Norway,4,1,3,8,NOR,Europe,0.5,0.125,0.375,17,26,16,22
SUI,Switzerland,Switzerland,1,2,5,8,SUI,Europe,0.125,0.25,0.625,12,26,41,33
TUR,Türkiye,Türkiye,0,3,5,8,TUR,Europe,0.0,0.375,0.625,11,26,65,36
ISR,Israel,Israel,1,5,1,7,ISR,Europe,0.143,0.714,0.143,14,30,41,28
BUL,Bulgaria,Bulgaria,3,1,3,7,BUL,Unknown,0.429,0.143,0.429,14,30,20,28
GEO,Georgia,Georgia,3,3,1,7,GEO,Europe,0.429,0.429,0.143,16,30,20,24
IRL,Ireland,Ireland,4,0,3,7,IRL,Europe,0.571,0.0,0.429,15,30,16,26
CRO,Croatia,Croatia,2,2,3,7,CRO,Unknown,0.286,0.286,0.429,13,30,29,31
TPE,Chinese Taipei,Chinese Taipei,2,0,5,7,TPE,Asia,0.286,0.0,0.714,11,30,29,36
KAZ,Kazakhstan,Kazakhstan,1,3,3,7,KAZ,Asia,0.143,0.429,0.429,12,30,41,33
AZE,Azerbaijan,Azerbaijan,2,2,3,7,AZE,Europe,0.286,0.286,0.429,13,30,29,31
KGZ,Kyrgyzstan,Kyrgyzstan,0,2,4,6,KGZ,Asia,0.0,0.333,0.667,8,38,65,48
PRK,DPR Korea,Democratic People's Republic of Korea,0,2,4,6,PRK,Asia,0.0,0.333,0.667,8,38,65,48
JAM,Jamaica,Jamaica,1,3,2,6,JAM,North America,0.167,0.5,0.333,11,38,41,36
THA,Thailand,Thailand,1,3,2,6,THA,Asia,0.167,0.5,0.333,11,38,41,36
RSA,South Africa,South Africa,1,3,2,6,RSA,Africa,0.167,0.5,0.333,11,38,41,36
IND,India,India,0,1,5,6,IND,Asia,0.0,0.167,0.833,7,38,65,55
SRB,Serbia,Serbia,3,1,1,5,SRB,Europe,0.6,0.2,0.2,12,44,20,33
CZE,Czechia,Czechia,3,0,2,5,CZE,Europe,0.6,0.0,0.4,11,44,20,36
AUT,Austria,Austria,2,0,3,5,AUT,Europe,0.4,0.0,0.6,9,44,29,44
AIN,AIN,AIN,1,3,1,5,AIN,Unknown,0.2,0.6,0.2,10,44,41,43
MEX,Mexico,Mexico,0,3,2,5,MEX,North America,0.0,0.6,0.4,8,44,65,48
ECU,Ecuador,Ecuador,1,2,2,5,ECU,South America,0.2,0.4,0.4,9,44,41,44
BRN,Bahrain,Bahrain,2,1,1,4,BRN,Asia,0.5,0.25,0.25,9,50,29,44
ETH,Ethiopia,Ethiopia,1,3,0,4,ETH,Africa,0.25,0.75,0.0,9,50,41,44
PHI,Philippines,Philippines,2,0,2,4,PHI,Asia,0.5,0.0,0.5,8,50,29,48
ARM,Armenia,Armenia,0,3,1,4,ARM,Europe,0.0,0.75,0.25,7,50,65,55
COL,Colombia,Colombia,0,3,1,4,COL,South America,0.0,0.75,0.25,7,50,65,55
LTU,Lithuania,Lithuania,0,2,2,4,LTU,Europe,0.0,0.5,0.5,6,50,65,59
HKG,"Hong Kong, China","Hong Kong, China",2,0,2,4,HKG,Asia,0.5,0.0,0.5,8,50,29,48
POR,Portugal,Portugal,1,2,1,4,POR,Europe,0.25,0.5,0.25,8,50,41,48
MDA,Republic of Moldova,Republic of Moldova,0,1,3,4,MDA,Europe,0.0,0.25,0.75,5,50,65,64
SLO,Slovenia,Slovenia,2,1,0,3,SLO,Europe,0.667,0.333,0.0,8,59,29,48
ARG,Argentina,Argentina,1,1,1,3,ARG,South America,0.333,0.333,0.333,6,59,41,59
ALG,Algeria,Algeria,2,0,1,3,ALG,Africa,0.667,0.0,0.333,7,59,29,55
TJK,Tajikistan,Tajikistan,0,0,3,3,TJK,Asia,0.0,0.0,1.0,3,59,65,72
EGY,Egypt,Egypt,1,1,1,3,EGY,Africa,0.333,0.333,0.333,6,59,41,59
TUN,Tunisia,Tunisia,1,1,1,3,TUN,Africa,0.333,0.333,0.333,6,59,41,59
DOM,Dominican Republic,Dominican Republic,1,0,2,3,DOM,North America,0.333,0.0,0.667,5,59,41,64
INA,Indonesia,Indonesia,2,0,0,2,INA,Asia,1.0,0.0,0.0,6,66,29,59
CHI,Chile,Chile,1,1,0,2,CHI,South America,0.5,0.5,0.0,5,66,41,64
BOT,Botswana,Botswana,1,1,0,2,BOT,Africa,0.5,0.5,0.0,5,66,41,64
UGA,Uganda,Uganda,1,1,0,2,UGA,Africa,0.5,0.5,0.0,5,66,41,64
LCA,Saint Lucia,Saint Lucia,1,1,0,2,LCA,North America,0.5,0.5,0.0,5,66,41,64
GUA,Guatemala,Guatemala,1,0,1,2,GUA,North America,0.5,0.0,0.5,4,66,41,70
KOS,Kosovo,Kosovo,0,1,1,2,KOS,Europe,0.0,0.5,0.5,3,66,65,72
ALB,Albania,Albania,0,0,2,2,ALB,Europe,0.0,0.0,1.0,2,66,65,76
GRN,Grenada,Grenada,0,0,2,2,GRN,North America,0.0,0.0,1.0,2,66,65,76
MAS,Malaysia,Malaysia,0,0,2,2,MAS,Asia,0.0,0.0,1.0,2,66,65,76
MAR,Morocco,Morocco,1,0,1,2,MAR,Africa,0.5,0.0,0.5,4,66,41,70
PUR,Puerto Rico,Puerto Rico,0,0,2,2,PUR,North America,0.0,0.0,1.0,2,66,65,76
CYP,Cyprus,Cyprus,0,1,0,1,CYP,Europe,0.0,1.0,0.0,2,78,65,76
PAK,Pakistan,Pakistan,1,0,0,1,PAK,Asia,1.0,0.0,0.0,3,78,41,72
DMA,Dominica,Dominica,1,0,0,1,DMA,North America,1.0,0.0,0.0,3,78,41,72
FIJ,Fiji,Fiji,0,1,0,1,FIJ,Oceania,0.0,1.0,0.0,2,78,65,76
PAN,Panama,Panama,0,1,0,1,PAN,North America,0.0,1.0,0.0,2,78,65,76
JOR,Jordan,Jordan,0,1,0,1,JOR,Asia,0.0,1.0,0.0,2,78,65,76
MGL,Mongolia,Mongolia,0,1,0,1,MGL,Asia,0.0,1.0,0.0,2,78,65,76
CPV,Cabo Verde,Cabo Verde,0,0,1,1,CPV,Africa,0.0,0.0,1.0,1,78,65,85
CIV,Côte d'Ivoire,Côte d'Ivoire,0,0,1,1,CIV,Africa,0.0,0.0,1.0,1,78,65,85
EOR,EOR,Refugee Olympic Team,0,0,1,1,EOR,Unknown,0.0,0.0,1.0,1,78,65,85
PER,Peru,Peru,0,0,1,1,PER,South America,0.0,0.0,1.0,1,78,65,85
QAT,Qatar,Qatar,0,0,1,1,QAT,Asia,0.0,0.0,1.0,1,78,65,85
SGP,Singapore,Singapore,0,0,1,1,SGP,Asia,0.0,0.0,1.0,1,78,65,85
SVK,Slovakia,Slovakia,0,0,1,1,SVK,Europe,0.0,0.0,1.0,1,78,65,85
ZAM,Zambia,Zambia,0,0,1,1,ZAM,Africa,0.0,0.0,1.0,1,78,65,85
