sport,num_disciplines,num_events,num_athletes,Bronze Medal,Gold Medal,Silver Medal,total_medals
3x3 Basketball,12,2,680,220,227,233,680
Beach Volleyball,12,2,680,220,227,233,680
Basketball,12,2,680,220,227,233,680
Football,12,2,680,220,227,233,680
Water Polo,12,2,680,220,227,233,680
Rugby Sevens,12,2,680,220,227,233,680
Surfing,12,2,680,220,227,233,680
Volleyball,12,2,680,220,227,233,680
Trampoline Gymnastics,12,2,680,220,227,233,680
Handball,12,2,680,220,227,233,680
Hockey,12,2,680,220,227,233,680
Cycling BMX Racing,12,2,680,220,227,233,680
Athletics,1,48,193,79,78,74,231
Swimming,1,35,125,71,73,75,219
Rowing,1,14,140,48,48,48,144
Archery,6,5,132,51,44,44,139
Judo,2,15,88,51,30,30,111
Artistic Gymnastics,3,14,81,35,34,34,103
Table Tennis,5,5,93,34,34,34,102
Fencing,1,12,83,30,30,30,90
Cycling Track,1,12,70,29,29,29,87
Wrestling,1,18,72,36,18,18,72
Canoe Sprint,1,10,49,22,20,20,62
Tennis,3,5,59,20,20,20,60
Badminton,3,5,59,20,20,20,60
Shooting,1,15,49,18,18,18,54
Boxing,1,13,52,26,13,13,52
Equestrian,1,6,41,15,15,15,45
Sailing,1,10,42,14,14,14,42
Diving,1,8,28,12,12,12,36
Artistic Swimming,1,2,31,11,11,11,33
Taekwondo,1,8,32,16,8,8,32
Triathlon,3,3,28,10,10,10,30
Weightlifting,1,10,30,10,10,10,30
Modern Pentathlon,3,2,18,6,6,6,18
Canoe Slalom,1,6,16,6,6,6,18
Rhythmic Gymnastics,1,2,18,6,6,6,18
Skateboarding,2,4,18,6,6,6,18
Cycling BMX Freestyle,2,2,12,4,4,4,12
Sport Climbing,1,4,12,4,4,4,12
Cycling Road,1,4,11,4,4,4,12
Breaking,1,2,6,2,2,2,6
Marathon Swimming,1,2,6,2,2,2,6
Cycling Mountain Bike,1,2,6,2,2,2,6
Golf,1,2,6,2,2,2,6
