venue,sports,date_start,date_end,tag,url,duration_days,latitude,longitude
Aquatics Centre,"['Artistic Swimming', 'Diving', 'Water Polo']",2024-07-27 09:00:00+00:00,2024-08-10 20:00:00+00:00,aquatics-centre,https://olympics.com/en/paris-2024/venues/aquatics-centre,14.0,48.9279,2.3619
Bercy Arena,"['Artistic Gymnastics', 'Basketball', 'Trampoline']",2024-07-27 09:00:00+00:00,2024-08-11 16:00:00+00:00,bercy-arena,https://olympics.com/en/paris-2024/venues/bercy-arena,15.0,48.8394,2.3791
Bordeaux Stadium,['Football'],2024-07-25 17:00:00+00:00,2024-08-02 21:59:00+00:00,bordeaux-stadium,https://olympics.com/en/paris-2024/venues/bordeaux-stadium,8.0,48.8566,2.3522
Champ de Mars Arena,"['Judo', 'Wrestling']",2024-07-27 08:00:00+00:00,2024-08-11 12:00:00+00:00,champ-de-mars-arena,https://olympics.com/en/paris-2024/venues/champ-de-mars-arena,15.0,48.8556,2.2986
Château de Versailles,"['Equestrian', 'Modern Pentathlon']",2024-07-27 07:30:00+00:00,2024-08-11 11:30:00+00:00,chateau-de-versailles,https://olympics.com/en/paris-2024/venues/chateau-de-versailles,15.0,48.8049,2.1204
Chateauroux Shooting Centre,['Shooting'],2024-07-27 07:00:00+00:00,2024-08-05 14:35:00+00:00,chateauroux-shooting-centre,https://olympics.com/en/paris-2024/venues/chateauroux-shooting-centre,9.0,48.8566,2.3522
Eiffel Tower Stadium,['Beach Volleyball'],2024-07-27 12:00:00+00:00,2024-08-10 21:59:00+00:00,eiffel-tower-stadium,https://olympics.com/en/paris-2024/venues/eiffel-tower-stadium,14.0,48.8584,2.2945
Elancourt Hill,['Cycling Mountain Bike'],2024-07-28 12:00:00+00:00,2024-07-29 14:30:00+00:00,elancourt-hill,https://olympics.com/en/paris-2024/venues/elancourt-hill,1.0,48.8566,2.3522
Geoffroy-Guichard Stadium,['Football'],2024-07-25 13:00:00+00:00,2024-07-31 19:00:00+00:00,geoffroy-guichard-stadium,https://olympics.com/en/paris-2024/venues/geoffroy-guichard-stadium,6.0,48.8566,2.3522
Grand Palais,"['Fencing', 'Taekwondo']",2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,grand-palais,https://olympics.com/en/paris-2024/venues/grand-palais,14.0,48.8662,2.3124
Hôtel de Ville,['Athletics'],2024-08-10 06:00:00+00:00,2024-08-11 09:15:00+00:00,hotel-de-ville,https://olympics.com/en/paris-2024/venues/hotel-de-ville,1.0,48.8566,2.3522
Invalides,"['Archery', 'Athletics', 'Cycling Road']",2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,invalides,https://olympics.com/en/paris-2024/venues/invalides,10.0,48.8566,2.3122
La Beaujoire Stadium,['Football'],2024-07-25 15:00:00+00:00,2024-08-08 18:00:00+00:00,la-beaujoire-stadium,https://olympics.com/en/paris-2024/venues/la-beaujoire-stadium,14.0,48.8566,2.3522
La Concorde,"['3x3 Basketball', 'Breaking', 'Cycling BMX Freestyle', 'Skateboarding']",2024-07-27 10:00:00+00:00,2024-08-10 20:00:00+00:00,la-concorde,https://olympics.com/en/paris-2024/venues/la-concorde,14.0,48.8656,2.3212
Le Bourget Sport Climbing Venue,['Sport Climbing'],2024-08-05 08:00:00+00:00,2024-08-10 11:20:00+00:00,le-bourget-climbing-venue,https://olympics.com/en/paris-2024/venues/le-bourget-climbing-venue,5.0,48.8566,2.3522
Golf National,['Golf'],2024-08-01 07:00:00+00:00,2024-08-10 16:30:00+00:00,le-golf-national,https://olympics.com/en/paris-2024/venues/le-golf-national,9.0,48.8566,2.3522
